fact_purchased_orders_link_to_ops,fact_purchased_orders_exposed_order_id,fact_purchased_orders_order_id,dim_users_link_to_ops,dim_users_user_id,fact_purchased_orders_purchased_date,dim_users_created_date,fact_purchased_items_total_base_revenue_excluding_refund,fact_purchased_items_total_estimated_cost
https://ops.curated.com/orders/AgAAACkAXiSKTsAfSK-D2B899F8tjQ,59925-24633,urn:order:5e248a4e-c01f-48af-83d8-1f3df45f2d8d,https://ops.curated.com/consumers/AgAAAAEA1ix4ZfvUSNeLEbMYNPjk3Q,urn:user:d62c7865-fbd4-48d7-8b11-b31834f8e4dd,2022-12-13,2022-12-13,174.95,148.71
https://ops.curated.com/orders/AgAAACkASKLLbYOMQCKhfNTKT6VeLg,66231-71912,urn:order:48a2cb6d-838c-4022-a17c-d4ca4fa55e2e,https://ops.curated.com/consumers/AgAAAAEAvvgXNE33RmuCrkxdI70KRg,urn:user:bef81734-4df7-466b-82ae-4c5d23bd0a46,2022-12-04,2022-12-04,174.95,148.71
https://ops.curated.com/orders/AgAAACkAnXEHH3LPTZmp4u2gWYDRkg,53560-86853,urn:order:9d71071f-72cf-4d99-a9e2-eda05980d192,https://ops.curated.com/consumers/AgAAAAEAXmL-nPeqQvC4DhJ-K6Bufg,urn:user:5e62fe9c-f7aa-42f0-b80e-127e2ba06e7e,2022-11-28,2022-11-28,174.95,231.93
https://ops.curated.com/orders/AgAAACkAAB6etSczTvOJ57v5CnIClQ,87932-25690,urn:order:001e9eb5-2733-4ef3-89e7-bbf90a720295,https://ops.curated.com/consumers/AgAAAAEAhU6Fom2xSpGNpeV2LBdqrg,urn:user:854e85a2-6db1-4a91-8da5-e5762c176aae,2022-12-17,2022-12-17,174.95,148.71
https://ops.curated.com/orders/AgAAACkAHX5wkQxMSReMmsZjOPzR9Q,27619-88246,urn:order:1d7e7091-0c4c-4917-8c9a-c66338fcd1f5,https://ops.curated.com/consumers/AgAAAAEAS0I2FV06Qt69zSs8T3ylXA,urn:user:4b423615-5d3a-42de-bdcd-2b3c4f7ca55c,2022-12-05,2022-12-05,174.95,134.73
https://ops.curated.com/orders/AgAAACkAwyqUFicFRi-7tYpCG_HU2w,84827-95219,urn:order:c32a9416-2705-462f-bbb5-8a421bf1d4db,https://ops.curated.com/consumers/AgAAAAEALrod1VlyRZ6Iv4-kIH33zw,urn:user:2eba1dd5-5972-459e-88bf-8fa4207df7cf,2023-01-01,2022-12-26,174.95,92.5
https://ops.curated.com/orders/AgAAACkA0AHckGz9SdCZkZGQwSM-8A,75984-21459,urn:order:d001dc90-6cfd-49d0-9991-9190c1233ef0,https://ops.curated.com/consumers/AgAAAAEAdGi7qeRJSPCs1exh8vrYEw,urn:user:7468bba9-e449-48f0-acd5-ec61f2fad813,2022-12-23,2022-12-23,174.95,178.46
https://ops.curated.com/orders/AgAAACkAO0a8koR9Q_qXH4OPX4n4QQ,84666-48707,urn:order:3b46bc92-847d-43fa-971f-838f5f89f841,https://ops.curated.com/consumers/AgAAAAEAJVCw6dElTS-Zho6zRIEj7Q,urn:user:2550b0e9-d125-4d2f-9986-8eb3448123ed,2022-12-10,2021-02-27,174.94,102.3
https://ops.curated.com/orders/AgAAACkAtYaPrlb-THuvOfaQK-3uFA,16217-06001,urn:order:b5868fae-56fe-4c7b-af39-f6902bedee14,https://ops.curated.com/consumers/AgAAAAEAO4eCG9NKTaeq7AadfEKg0A,urn:user:3b87821b-d34a-4da7-aaec-069d7c42a0d0,2022-12-19,2022-12-19,173.95,82.8
https://ops.curated.com/orders/AgAAACkA-tv1Rs20Rj-qfTqfhjwzZg,68551-41889,urn:order:fadbf546-cdb4-463f-aa7d-3a9f863c3366,https://ops.curated.com/consumers/AgAAAAEAsK82PwApTi6ydVylSu9xYQ,urn:user:b0af363f-0029-4e2e-b275-5ca54aef7161,2022-12-14,2022-12-09,173.95,173.32
https://ops.curated.com/orders/AgAAACkAeFJglj8mTh-8wNrrnXPAXw,41744-20348,urn:order:78526096-3f26-4e1f-bcc0-daeb9d73c05f,https://ops.curated.com/consumers/AgAAAAEAbHkSp-uFRtaRleUrnZiM0A,urn:user:6c7912a7-eb85-46d6-9195-e52b9d988cd0,2022-12-10,2022-07-04,173.74,109.6
https://ops.curated.com/orders/AgAAACkAh6qYd0MTRUKVgtCAPLGUag,19944-63324,urn:order:87aa9877-4313-4542-9582-d0803cb1946a,https://ops.curated.com/consumers/AgAAAAEAucNUAR1jSe-JkbiSsBMaxw,urn:user:b9c35401-1d63-49ef-8991-b892b0131ac7,2022-11-29,2022-08-13,172.95,234.9
